sep=,
DeviceTag:,2
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Extended(Euler)
StartTime: ,2025-07-11_20:06:00_088 WEST
© Movella Technologies B. V. 2005-2025

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1,2269005663,159.777817,-81.977821,105.639381,-0.033452,-0.036872,0.004344,0
2,2269022330,159.623535,-81.991653,105.866676,-0.066034,-0.272716,-0.079091,0
3,2269038997,159.559784,-82.004097,106.037605,-0.020828,0.050335,0.078723,0
4,2269055664,159.441650,-82.022034,106.223022,-0.063737,0.271949,0.191294,0
5,2269072331,159.280548,-82.044655,106.431824,-0.106289,-0.085986,0.074785,0
6,2269088998,159.198059,-82.059082,106.588776,0.125321,-0.075268,-0.057632,0
7,2269105665,159.100586,-82.063583,106.735779,-0.023371,0.052875,-0.133815,0
8,2269122332,159.067108,-82.069565,106.838844,-0.027554,0.121524,0.061519,0
9,2269138999,159.070633,-82.072716,106.904106,-0.029963,0.108100,0.020775,0
10,2269155666,159.079208,-82.061081,106.939941,-0.089678,0.089972,0.050454,0
11,2269172333,159.195847,-82.039177,106.893234,-0.049665,0.020326,0.084109,0
12,2269189000,159.355591,-82.006889,106.777657,0.043524,0.162143,-0.016744,0
13,2269205667,159.560898,-81.980217,106.630035,0.004013,0.091901,-0.058134,0
14,2269222334,159.739212,-81.967400,106.461479,-0.042129,-0.007362,0.042568,0
15,2269239001,159.987701,-81.957924,106.254112,-0.031191,-0.173514,0.076975,0
16,2269255668,160.247543,-81.954628,106.027771,-0.028931,0.043931,0.125788,0
17,2269272335,160.550247,-81.974174,105.760414,-0.067909,0.140719,0.101742,0
18,2269289002,160.939865,-82.031296,105.421150,0.115125,0.010841,0.039309,0
19,2269305669,161.424591,-82.120621,104.994270,0.118483,-0.050545,0.024581,0
20,2269322336,162.103989,-82.258713,104.425835,0.347854,-0.001844,-0.022135,0
21,2269339003,162.952255,-82.430656,103.669777,0.599293,-0.006510,-0.235346,0
22,2269355670,163.899170,-82.609390,102.776176,0.176801,-0.190549,-0.162842,0
23,2269372337,165.092697,-82.790619,101.716553,-0.461258,-0.437004,0.540380,0
24,2269389004,166.398911,-82.990700,100.579826,-0.103280,-0.093196,0.534107,0
25,2269405671,167.664825,-83.198135,99.405426,0.100521,-0.135365,-0.030888,0
26,2269422338,169.095047,-83.385658,98.070511,0.033981,-0.008429,-0.180829,0
27,2269439005,170.668427,-83.545181,96.560875,0.060190,0.478465,0.010462,0
28,2269455672,172.228378,-83.685715,94.984764,-0.137080,0.404162,0.037325,0
29,2269472339,173.925735,-83.814011,93.284988,-0.120904,0.225380,-0.028622,0
30,2269489006,175.747498,-83.923752,91.493492,-0.083105,-0.104932,-0.044382,0
31,2269505673,177.632553,-84.018242,89.668549,0.001653,-0.002029,-0.045755,0
32,2269522340,179.485260,-84.095390,87.885300,-0.265631,-0.018969,-0.044174,0
33,2269539007,-178.801834,-84.146393,86.304832,-0.492494,0.040002,0.009211,0
34,2269555674,-177.232239,-84.168037,84.954956,-0.541947,-0.252959,0.092799,0
35,2269572341,-175.777069,-84.158234,83.802048,-0.279787,-0.186396,0.034811,0
36,2269589008,-174.637039,-84.119843,82.915932,-0.141334,0.070147,0.076465,0
37,2269605675,-173.822174,-84.073189,82.286308,-0.247242,0.094587,0.073624,0
38,2269622342,-173.209381,-84.017815,81.877113,-0.238279,0.052401,0.032403,0
39,2269639009,-172.732971,-83.956329,81.617157,-0.237128,0.033794,0.162652,0
40,2269655676,-172.360733,-83.892990,81.491539,-0.095366,0.037676,0.154922,0
41,2269672343,-172.223526,-83.831970,81.565338,0.018005,-0.109248,-0.096354,0
42,2269689010,-172.233582,-83.766655,81.741112,0.015828,-0.240207,-0.076241,0
43,2269705677,-172.353653,-83.698860,82.009201,0.016014,-0.105168,0.078300,0
44,2269722344,-172.679276,-83.627426,82.431030,0.047707,0.095143,-0.051270,0
45,2269739011,-173.163406,-83.557892,82.954201,-0.031331,-0.013493,0.016386,0
46,2269755678,-173.754883,-83.491028,83.571304,-0.181007,0.024005,0.151850,0
47,2269772345,-174.353073,-83.428963,84.230095,-0.124374,-0.108128,0.080713,0
48,2269789012,-174.853317,-83.369545,84.825851,0.044956,-0.126049,0.071572,0
49,2269805679,-175.327591,-83.323395,85.381050,0.023816,-0.055890,0.111599,0
50,2269822346,-175.737503,-83.306229,85.879425,-0.037150,-0.083421,0.022223,0
51,2269839013,-176.084732,-83.296303,86.314934,0.015365,-0.059373,0.017450,0
52,2269855680,-176.348694,-83.303940,86.629074,0.000223,-0.110050,0.155184,0
